Cruise,Haul_n,Date,SampleID,SpeciesCode,Length,Weight,Sex,Maturity ,Parasites,FaecalMatter,Live,Photo,Seconds,Temperature,Color,Consistency ,Shape,Membrane,ROC,dDNA,Lipid,POCDOC,Stomach,Otolith/Tissue,Rubbing,Gutted_weight#,Gall_Bladder,Comments
SCOOP25,4,07/12/2025,WHG1,WHG,30,0.216,F,2,No,Yes,,Yes,NA,NA,Pink-brown,Pasty,Amorphous,No,Yes,Yes,No,No,Yes,Yes,,,,Has some pellets/grains in it. Very mucusy
SCOOP25,4,07/12/2025,WHG2,WHG,27,0.148,F,2,No,Yes,,No,NA,NA,Brown,Smooth,Tubular,No,Yes,Yes,No,No,Yes,Yes,,,,"Near rectum poo was brown, further up gut was pink-orangeand more liquid and slimy than smooth. All material was taken mid and hind gut. "
SCOOP25,4,07/12/2025,WHG3,WHG,28,0.164,F,3,No,Yes,,Yes,NA,NA,Orange-yellow,Fibrous unidentified material,Amorphous,No,Yes,No,No,No,Yes,Yes,,,,Amorphous but had some more solid bits.
SCOOP25,4,07/12/2025,WHG4,WHG,25,0.14,F,3,No,Yes,,Yes,NA,NA,Brown,Smooth,Amorphous,No,Yes,No,No,No,No,Yes,,,,Rectum faeces were black. Upper gut faeces were granular.
SCOOP25,4,07/12/2025,WHG5,WHG,26,0.138,F,3,No,Yes,,Yes,NA,NA,Orange-brown,Pasty,Tubular,No,Yes,No,No,No,No,Yes,,,,NA
SCOOP25,4,07/12/2025,WHG6,WHG,23,0.1,M,2,No,Yes,,Yes,NA,NA,Orange-brown,Pasty,Tubular,No,Yes,No,No,No,No,Yes,,,,NA
SCOOP25,4,07/12/2025,WHG7,WHG,23,0.11,M,2,No,Yes,,No,NA,NA,Orange-brown,Pasty,Amorphous,No,No,No,Yes,No,No,Yes,,,,NA
SCOOP25,4,07/12/2025,WHG8,WHG,23,0.132,M,2,No,Yes,,Yes,NA,NA,Pink-brown,Pasty,Amorphous,No,No,No,Yes,No,No,Yes,,,,Shape slightly tubular but too soft to hold shape.
SCOOP25,4,07/12/2025,WHG9,WHG,23,0.106,M,2,No,Yes,,Yes,NA,NA,Black-green,Liquid,Amorphous,No,No,No,Yes,No,Yes,Yes,,,,"Lower gut empty, upper gut sampled."
SCOOP25,4,07/12/2025,WHG10,WHG,24,0.114,M,2,No,Yes,,Yes,NA,NA,Orange,Liquid,Amorphous,No,Yes,No,No,No,No,Yes,,,,
SCOOP25,4,07/12/2025,HOM1,HOM,22,0.118,F,Unknown,No,Yes,,Yes,NA,NA,Orange,"Slimy, jelly",Amorphous,No,No,Yes,No,No,Yes,Yes,,,,Maybe just mucous/not faeces
SCOOP25,4,07/12/2025,HOM2,HOM,19,0.08,F,Unknown,Yes,Yes,,Yes,NA,NA,Yellow,"Liquid, slimy",Amorphous,No,No,Yes,No,No,Yes,Yes,,,,"Poo was gooey-liquid, gel like. There were some parasites, not loads."
SCOOP25,5,07/12/2025,WHG11,WHG,22,0.092,M,2,Yes,Yes,,Yes,NA,NA,Red-brown,"Slimy, some brown pasty",Tubular,No,No,Yes,No,No,Yes,Yes,,,,"Live parasite work in the poo almost at the end of the gut, higher up the poo was more brown and pasty, lower was slimy"
SCOOP25,5,07/12/2025,WHG12,WHG,28,0.168,M,3,Yes,Yes,,Yes,NA,NA,Brown,Fibrous unidentified material,Tubular,No,No,Yes,No,No,Yes,Yes,,,,"Poo was fibrous but also slimy and a bit gel-like. Mucus present. Soft but doesn’t break, coiled with small pellets, doesn't mix, gloopy."
SCOOP25,5,07/12/2025,HOM8,HOM,17,0.048,F,Unknown,No,Unsure,,Yes,NA,NA,Yellow-orange,"Slimy, jelly",Amorphous,No,No,Yes,No,No,Yes,Yes,,,,"Not sure if faeces present, quite empty, maybe mucous."
SCOOP25,5,07/12/2025,HOM9,HOM,16,0.04,Juv,Unknown,No,Unsure,,Yes,NA,NA,Yellow,Liquid,Amorphous,No,No,Yes,No,No,Yes,Yes,,,,"Very empty, contents likely to be old may not get result. Poo was nearly liquid with some small bits of pasty."
SCOOP25,5,07/12/2025,WHG17,WHG,24,0.106,M,2,No,Yes,,Yes,NA,NA,Yellow,Fibrous unidentified material,Tubular,No,Yes,No,No,No,Yes,Yes,,,,NA
SCOOP25,5,07/12/2025,WHG18,WHG,29,0.194,F,3,No,Yes,,Yes,NA,NA,White,Pasty,Tubular,No,Yes,No,No,No,Yes,Yes,,,,Gut at end empty
SCOOP25,5,07/12/2025,WHG19,WHG,34,0.342,F,3,Yes,Yes,,Yes,NA,NA,Orange-brown,Pasty,Tubular,No,Yes,No,No,No,Yes,Yes,,,,NA
SCOOP25,4,07/12/2025,WHB1,WHB,28,0.15,F,2,,Yes,,Yes,NA,NA,Black,Smooth,Tubular,No,Yes,No,No,No,No,Yes,,,,NA
SCOOP25,4,07/12/2025,WHB2,WHB,28,0.14,F,2,,Yes,,Yes,NA,NA,Grey,Pasty,Tubular,No,Yes,No,No,No,No,Yes,,,,Muddy poo
SCOOP25,4,07/12/2025,WHB3,WHB,26,0.104,M,2,,Yes,,Yes,NA,NA,Black,Smooth,Tubular,No,Yes,No,No,No,No,,,,,
SCOOP25,4,07/12/2025,HKE1,HKE,45,0.91,F,4,,Yes,,Yes,NA,NA,Green,Liquid,Amorphous,No,Yes,No,No,No,Maybe,,,,,liquidy
SCOOP25,4,07/12/2025,,HKE,34,0.274,M,2,,No,,,NA,NA,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HKE,29,0.154,M,2,,No,,,NA,NA,,,,,,,,,,,,,,"A little in upper gut, none taken"
SCOOP25,4,07/12/2025,HKE4,HKE,27,0.132,M,2,,Yes,,Yes,NA,NA,Brown,Pasty,Tubular,No,Yes,No,No,No,No,Yes,,,,Silver-brown a bit liquid
SCOOP25,4,07/12/2025,,HKE,31,0.152,M,2,,No,,,NA,NA,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HKE,29,0.168,M,2,,No,,,NA,NA,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HKE,27,0.132,M,2,,No,,,NA,NA,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,HKE8,HKE,28,0.138,F,2,,Yes,,Yes,NA,NA,Black,Pasty,Lump,No,Yes,No,No,No,No,Yes,,,,
SCOOP25,4,07/12/2025,,HKE,28,0.136,M,2,,No,,,NA,NA,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,HKE9,HKE,29,0.148,M,2,,Yes,,Yes,NA,NA,Orange,Pasty,Tubular,No,Yes,No,No,No,No,Yes,,,,
