CollectorID,ID,Haul,Order,Species,Gender,Size,Seconds,Comment,Colour,Color,Content,Consistency,Shape,Breakable,Membrane,Amount,Box,Cell,Photo taken
1,,51,3,HAD,F,37,,A lot of the poo was broken,,,,,,,,,,,
1,,51,2,HAD,F,34,0.91,likes and in the poo material,Brown,,,,,,,,,,
1,,51,1,HAD,M,24,0.9,light broun granual,Brown,brown,digested,granular,tubular,NA,NA,,,,
1,,51,1,COD,F,51,1.22,"white paste, creamy color, like mud",Pale,pale grey,digested,pasty,tubular,NA,NA,,,,
1,,52,1,HAD,F,53,0.85,"granular matterial, full shell, a lot of material in the intestine",Brown,brown,undigested/shell,granular,tubular,NA,NA,,,,
1,,52,2,HAD,F,48,0.78,granular pieces of shell,Brown,brown,undigested/shell,granular,tubular,,,,,,
1,,52,3,HAD,F,58,1.19,"granular/sandy, it fell in a cloud",Brown,brown,undigested/grit,granular,tubular,Yes,,,,,
1,,56,1,HAD,F,48,1.53,"Sandy, granular dark brown",Brown,brown,undigested/grit,granular,tubular,,,,,,
1,,58,1,HAD,F,47,1.75,"Sandy, granular dark broun",Brown,brown,undigested/grit,granular,tubular,,,,231,7,
1,,58,2,HAD,F,46,1.13,"Sandy, one shell light brown",Brown,brown,undigested/grit,granular,tubular,,,,231,8,
1,,58,1,WHB,,17,4.94,Dark brown,Brown,brown,,,,,,,,,
1,,58,2,WHB,,23,16.65,Red with blo,Color,orange,,,,,,,,,
1,,58,3,WHB,,18,15.9,Red orange granular,Color,orange,,granular,tubular,,,,,,
1,,58,4,WHB,,18,3.04,,,,,,,,,,,,
1,,58,5,WHB,,18,14.07,,,,,,,,,,,,
1,,58,6,WHB,,20,4,,,,,,,,,,,,
1,,59,1,HAD,M,44,3.53,"not much, liquid",,,,,,,,,231,9,
1,,59,2,HAD,U,17,1.25,"sandy, browns",Brown,brown,undigested/grit,granular,tubular,,,,231,10,
1,1,60,1,HAD,F,43,1.13,"sandy, browns",Brown,brown,undigested/grit,granular,tubular,,,,231,11,
1,2,60,2,HAD,F,50,0.84,"sandy, dark brown",Brown,brown,undigested/grit,granular,tubular,,,,231,12,
1,3,61,1,HAD,M,41,0.82,"sandy, brown",Brown,brown,undigested/grit,granular,tubular,,,,,,
1,4,61,2,HAD,F,39,1.84,"sandy, light brown",Brown,brown,undigested/grit,granular,tubular,,,,,,
1,5,61,3,HAD,M,28,1.72,"sandy, googy ",Brown,brown,undigested/grit,granular,tubular,,,,,,
1,6,63,1,HAD,F,37,1.53,"lightbrown, sandy/sticky",Brown,brown,undigested/grit,granular,tubular,,,,,,
1,7,63,2,HAD,F,46,1.25,"orange broun, sandy/sticky",Brown,brown,undigested/grit,granular,tubular,,,,,,
1,8,63,3,HAD,M,33,1.56,"brown, sandy",Brown,brown,undigested/grit,granular,tubular,,,,,,
1,,63,1,WHG,M,32,2.5,Brown silver,Silver,silver,,smooth dense,,,,,,,
1,,63,2,WHG,F,35,4.24,Silver paste,Silver,silver,,pasty,,,,,,,
1,,63,3,WHG,F,38,5.09,Silver dense poo,Silver,silver,,smooth dense,,,,,,,
1,,63,4,WHG,F,31,1.66,Silver/brown paste,Silver,silver,,pasty,,,,,,,
1,9,64,1,HAD,F,32,1.13,"Brown, sandy",Brown,brown,undigested/grit,granular,tubular,,,,,,
1,10,64,2,HAD,F,43,0.78,"Brown, sandy",Brown,brown,undigested/grit,granular,tubular,,,,,,
1,11,64,3,HAD,F,43,0.94,Brown sandy,Brown,brown,undigested/grit,granular,tubular,,,,,,
1,12,65,1,HAD,F,48,1.59,"Brown, on faster than other, pieces of crab",Brown,brown,undigested/shell,granular,tubular,,,,,,
1,13,65,2,HAD,M,31,1.19,Brown,Brown,brown,,pasty,,,,,,,
1,14,65,3,HAD,M,30,1.85,Brown more pasty,Brown,brown,,pasty,,,,,,,
1,15,67,1,HAD,F,19,2.4,Brown googy,Brown,brown,,pasty,,,,,,,
1,16,67,2,HAD,M,18,2.44,Brown googy,Brown,brown,,pasty,,,,,,,
1,17,67,3,HAD,F,17,2.81,Brown googy,Brown,brown,,pasty,,,,,,,
1,18,73,1,HAD,U,15,2.4,Brown,Brown,brown,,,,,,,,,
1,19,73,2,HAD,U,16,1.18,Brown,Brown,brown,,,,,,,,,
1,20,73,3,HAD,U,15,1.72,Brown poopy,Brown,brown,,,,,,,,,
1,21,74,1,HAD,M,26,1.66,Brown sandy,Brown,brown,,granular,tubular,,,,,,
1,22,74,2,HAD,M,52,1.97,Brown sandy,Brown,brown,,granular,tubular,,,,,,
1,23,75,1,HAD,M,43,1.82,Brown/pink,Brown,brown,,,,,,,,,
1,24,75,2,HAD,U,15,1.78,Brown,Brown,brown,,,,,,,,,
1,25,76,1,HAD,F,45,1.38,Light brown,Brown,brown,,,,,,,,,
1,26,76,2,HAD,F,43,0.9,Dark brown sand,Brown,brown,,granular,tubular,,,,,,
1,27,76,3,HAD,F,26,0.82,Brown sandy,Brown,brown,,granular,tubular,,,,,,
1,28,78,1,HAD,F,38,1.59,"Brown sandy, shell pieces",Brown,brown,undigested/shell,granular,tubular,,,,,,
1,29,78,2,HAD,M,35,2.03,"Green, brown",Color,green brown,,,,,,,,,
1,30,78,3,HAD,F,34,1.6,Brown sand,Brown,brown,undigested/grit,granular,tubular,,,,,,
1,31,79,1,HAD,M,37,1.28,Brown sandy,Brown,brown,undigested/grit,granular,tubular,,,,,,
1,32,79,2,HAD,F,34,2.29,Brown sandy googy,Brown,brown,undigested/grit,,,,,,,,
1,33,79,3,HAD,F,42,1.81,Brown sandy googy,Brown,brown,undigested/grit,,,,,,,,
